id,nome,grupo,lan,gateway_mk,faixa_aparelhos,tunnel_ip,mk_pubkey,mk_lan_atual,status,endereco,gestor
18,SRT I - Araçatiba,ESPECIALIZADA,10.200.18.0/24,10.200.18.1,10.200.18.10 - 10.200.18.200,10.201.0.28,,,PLANEJADA,"Rua Alberto Santos Dumont, 326 - Araçatiba",Áquila / 21 997169385
19,SRT II - Centro,ESPECIALIZADA,10.200.19.0/24,10.200.19.1,10.200.19.10 - 10.200.19.200,10.201.0.29,,,PLANEJADA,"Rua Cel. Bittencourt, Qd.10 Lt.08 Casa 01 - Boa Vista",
20,SRT III - Centro,ESPECIALIZADA,10.200.20.0/24,10.200.20.1,10.200.20.10 - 10.200.20.200,10.201.0.30,,,PLANEJADA,"Rua Bacellar da Silva Bezerra, Qd.10 Lt.08 Casa 02 - Boa Vista",
21,TFD (Transporte Fora do Domicílio),ESPECIALIZADA,10.200.21.0/24,10.200.21.1,10.200.21.10 - 10.200.21.200,10.201.0.31,,,PLANEJADA,"Rua das Gaivotas, 12 - Camburi",Júlio / 21 985233170
22,Transporte Sanitário,ESPECIALIZADA,10.200.22.0/24,10.200.22.1,10.200.22.10 - 10.200.22.200,10.201.0.32,,,PLANEJADA,"Rua das Gaivotas, 12 - Camburi",Sandra / 21 968816908
23,Unidade Móvel de Odontologia (itinerante),ESPECIALIZADA,10.200.23.0/24,10.200.23.1,10.200.23.10 - 10.200.23.200,10.201.0.33,,,PLANEJADA,Itinerante,
24,Unidade Móvel de Odontologia - Clube Maricá,ESPECIALIZADA,10.200.24.0/24,10.200.24.1,10.200.24.10 - 10.200.24.200,10.201.0.34,,,PLANEJADA,"Rua Álvaro de Castro, 172 - Centro",
25,Vigilância Epidemiológica/Sanitária/Ambiental,ESPECIALIZADA,10.200.25.0/24,10.200.25.1,10.200.25.10 - 10.200.25.200,10.201.0.35,,,PLANEJADA,"Av. Roberto Silveira, 46 - Centro (TACO 3o andar)",Willian / 21 997516738
26,Hospital Municipal Conde Modesto Leal - HMCML,RUE,10.200.26.0/24,10.200.26.1,10.200.26.10 - 10.200.26.200,10.201.0.36,,,PLANEJADA,"Rua Domício da Gama, 433 - Centro",
27,UPA Inoã,RUE,10.200.27.0/24,10.200.27.1,10.200.27.10 - 10.200.27.200,10.201.0.37,,,PLANEJADA,"Rua Euclides Paulo da Silva, s/n - Inoã",
28,UPA Ponta Negra,RUE,10.200.28.0/24,10.200.28.1,10.200.28.10 - 10.200.28.200,10.201.0.38,,,PLANEJADA,"Rua Alcebíades Teodoro Pereira, s/n - Ponta Negra",
29,Posto Santa Rita,RUE,10.200.29.0/24,10.200.29.1,10.200.29.10 - 10.200.29.200,10.201.0.39,,,PLANEJADA,,
