id,nome,grupo,lan,gateway_mk,faixa_aparelhos,tunnel_ip,mk_pubkey,mk_lan_atual,status,endereco,gestor,mk_mac,mk_senha_etiqueta
10,Centro Materno Infantil - CMI,ESPECIALIZADA,10.200.10.0/24,10.200.10.1,10.200.10.10 - 10.200.10.200,10.201.0.20,Bp1wUi60myciHiMEs/IxapgWKTSrxYMtaIoasthqlDE=,,PRE_CONFIGURADA,"Rua Clímaco Pereira, 375 - Centro",Jessé / 21 971724365,04f41cd5df56,MZNTKLVDED
11,CEREST,ESPECIALIZADA,10.200.11.0/24,10.200.11.1,10.200.11.10 - 10.200.11.200,10.201.0.21,zHS7UGVEU9Kj9uZwn5LkSlvGRZmefck6sU++gRf1qSc=,,PRE_CONFIGURADA,"Rua Dr. Jovino Duarte, 2142 - Araçatiba",Viviane / 21 981295699,04f41cd8db86,MREF74M6C4
12,CIEVIS,ESPECIALIZADA,10.200.12.0/24,10.200.12.1,10.200.12.10 - 10.200.12.200,10.201.0.22,7SBh1dqnLsrMIeAbpTgXD+0NEZtlyxkW5eW4mxMNDWM=,,PRE_CONFIGURADA,"Rua Clímaco Pereira, 367 - Centro (SMS 2o andar)",Daniela / 21 983510920,04f41cd5eb8b,6RKHEU37WP
13,CVI,ESPECIALIZADA,10.200.13.0/24,10.200.13.1,10.200.13.10 - 10.200.13.200,10.201.0.23,dKneXCz/N+ZAWozuqZm+330P2pr3AgsqzfLvIs4sPxA=,,PRE_CONFIGURADA,"Av. Roberto Silveira, 46 - Centro (TACO 1o andar)",,04f41cd5775f,QREU93TFVC
14,Gerência Administrativa,ESPECIALIZADA,10.200.14.0/24,10.200.14.1,10.200.14.10 - 10.200.14.200,10.201.0.24,C+VeYNCEM8iTZfUwxUxw9FaBGl3oQHfFgBC2A2eIRHg=,,PRE_CONFIGURADA,"Rua Clímaco Pereira, 367 - Centro (SMS 2o andar)",,04f41cd5e4fa,UMUPK7ZUL3
15,Núcleo de Imunização,ESPECIALIZADA,10.200.15.0/24,10.200.15.1,10.200.15.10 - 10.200.15.200,10.201.0.25,K1uZXIqTcvCYrv/vXAieoCkmufvaPHzme9rliJuX0AI=,,PRE_CONFIGURADA,"Rua Um, 50, Qd.02 - São José do Imbassaí",André / 21 972734518,04f41cd58704,4N6RP2AKDK
16,SAD (Atendimento Domiciliar),ESPECIALIZADA,10.200.16.0/24,10.200.16.1,10.200.16.10 - 10.200.16.200,10.201.0.26,uRDB8ppdHKGZUuZOwNI0+Rf2NmvPKthn0FMgHp5v/Wk=,,PRE_CONFIGURADA,"Rua Adelaide Bezerra, 247",Ramile / 21 968812266,04f41cd5d8af,UFMQJQYE6V
17,SAE (Atendimento Especializado),ESPECIALIZADA,10.200.17.0/24,10.200.17.1,10.200.17.10 - 10.200.17.200,10.201.0.27,TzMehOQvjA8lSKauW08DD5HbDgOVr8f4M5sNEe0G+UM=,,PRE_CONFIGURADA,"Rua Joaquim Ferreira da Silva, Qd.160 Lt.03 - Araçatiba",Daniele / 21 996306658,04f41cd8d6ca,TYJEHEW7MP
18,SRT I - Araçatiba,ESPECIALIZADA,10.200.18.0/24,10.200.18.1,10.200.18.10 - 10.200.18.200,10.201.0.28,VR1J8XPTNy4hmn6EAWoRS7q2o7Bw/ZrvrNt9NYQYEiQ=,,PRE_CONFIGURADA,"Rua Alberto Santos Dumont, 326 - Araçatiba",Áquila / 21 997169385,04f41cd64d8a,UUDVAN6E2Q
19,SRT II - Centro,ESPECIALIZADA,10.200.19.0/24,10.200.19.1,10.200.19.10 - 10.200.19.200,10.201.0.29,fu8MDS8o2o9y3k3MpLyBqZ+8oYRE1rm+DJjRhFxVLxM=,,PRE_CONFIGURADA,"Rua Cel. Bittencourt, Qd.10 Lt.08 Casa 01 - Boa Vista",,04f41cd8db43,YNHHJZEZPC
20,SRT III - Centro,ESPECIALIZADA,10.200.20.0/24,10.200.20.1,10.200.20.10 - 10.200.20.200,10.201.0.30,OWi3kuDiKmgbC0v5woMrVsSRUWRwL6BbiaHKUi4gFns=,,PRE_CONFIGURADA,"Rua Bacellar da Silva Bezerra, Qd.10 Lt.08 Casa 02 - Boa Vista",,04f41cd5878c,4LV7ZUK7TF
21,TFD (Transporte Fora do Domicílio),ESPECIALIZADA,10.200.21.0/24,10.200.21.1,10.200.21.10 - 10.200.21.200,10.201.0.31,N5FkV6HYfF/Udh5x7QgVaXBDrj1G/91exavAbU1TXkA=,,PRE_CONFIGURADA,"Rua das Gaivotas, 12 - Camburi",Júlio / 21 985233170,04f41cd8e1d4,XAKPP2VWYK
22,Transporte Sanitário,ESPECIALIZADA,10.200.22.0/24,10.200.22.1,10.200.22.10 - 10.200.22.200,10.201.0.32,ofB7XfvLStvh17ej/uYa8jK5FS0riMJHYoBOnIc06TY=,,PRE_CONFIGURADA,"Rua das Gaivotas, 12 - Camburi",Sandra / 21 968816908,04f41cd5774b,NMP642MVKP
23,Unidade Móvel de Odontologia (itinerante),ESPECIALIZADA,10.200.23.0/24,10.200.23.1,10.200.23.10 - 10.200.23.200,10.201.0.33,,,NAO_SERA_CRIADA,Itinerante,,,
24,Unidade Móvel de Odontologia - Clube Maricá,ESPECIALIZADA,10.200.24.0/24,10.200.24.1,10.200.24.10 - 10.200.24.200,10.201.0.34,,,NAO_SERA_CRIADA,"Rua Álvaro de Castro, 172 - Centro",,,
25,Vigilância Epidemiológica/Sanitária/Ambiental,ESPECIALIZADA,10.200.25.0/24,10.200.25.1,10.200.25.10 - 10.200.25.200,10.201.0.35,bkU3EEkfRD87+I22cSfQq27Kjigbg//oEFBl6SDk9BM=,,PRE_CONFIGURADA,"Av. Roberto Silveira, 46 - Centro (TACO 3o andar)",Willian / 21 997516738,04f41cd5dcf3,MADUD73PUE
26,Hospital Municipal Conde Modesto Leal - HMCML,RUE,10.200.26.0/24,10.200.26.1,10.200.26.10 - 10.200.26.200,10.201.0.36,,,NAO_SERA_CRIADA,"Rua Domício da Gama, 433 - Centro",,,
27,UPA Inoã,RUE,10.200.27.0/24,10.200.27.1,10.200.27.10 - 10.200.27.200,10.201.0.37,,,NAO_SERA_CRIADA,"Rua Euclides Paulo da Silva, s/n - Inoã",,,
28,UPA Ponta Negra,RUE,10.200.28.0/24,10.200.28.1,10.200.28.10 - 10.200.28.200,10.201.0.38,4yMR7JYgc8Kuei0sQ3bK8F9Of1eIEram69KyuD0srE8=,,PRE_CONFIGURADA,"Rua Alcebíades Teodoro Pereira, s/n - Ponta Negra",,04f41cd2a1ab,H3FRVLQA3X
29,Posto Santa Rita,RUE,10.200.29.0/24,10.200.29.1,10.200.29.10 - 10.200.29.200,10.201.0.39,,,NAO_SERA_CRIADA,,,,
