recurso;sistema;manual;ramo_ser;recurso_catalogo;pareamento;secao;tipo;texto_original;idade_min;idade_max;sexo;pergunta;documento;fonte
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Monilíase oral por mais de 2 meses (sapinho);;;;Monilíase oral por mais de 2 meses (sapinho);;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;História de imunodeficiência familiar;;;;História de imunodeficiência familiar;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Infecções sistêmicas graves (sepse, meningite, etc.);;;;Infecções sistêmicas graves (sepse, meningite, etc.);;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;do prestador (unidade executante);;;;do prestador (unidade executante);;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Lactente sibilante;;;;Lactente sibilante;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Dermatite de contato extensa;;;;Dermatite de contato extensa;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Alergia alimentar com sintomas sistêmicos graves;;;;Alergia alimentar com sintomas sistêmicos graves;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Imunodeficiência primária (todas - incluindo angioedema hereditário) e secundárias;;;;Imunodeficiência primária (todas - incluindo angioedema hereditário) e secundárias;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Investigação de Imunidade;;;;Investigação de Imunidade;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Reação a medicamentos;;;;Reação a medicamentos;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;de cada prestador e faixa etária para atendimento;;;;de cada prestador e faixa etária para atendimento;;CRECE p.12
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Doença arterial periférica;;;;Doença arterial periférica;;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Claudicação intermitente;;;;Claudicação intermitente;;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Ausência de pulsos arteriais;;;;Ausência de pulsos arteriais;;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Varizes essenciais ou IVC (sem úlcera);;;;Varizes essenciais ou IVC (sem úlcera);;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Linfedema (edema linfático);;;;Linfedema (edema linfático);;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Elefantíase;;;;Elefantíase;;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Angiodisplasia (má formação vascular);;;;Angiodisplasia (má formação vascular);;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Síndrome do desfiladeiro cérvico-torácico;;;;Síndrome do desfiladeiro cérvico-torácico;;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Artrite de Takayuasu;;;;Artrite de Takayuasu;;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;Doença de Behcet;;;;Doença de Behcet;;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;inclusao;NaoDedutivel;do prestador (unidade executante);;;;do prestador (unidade executante);;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;exclusao;NaoDedutivel;Pacientes com feridas nas pernas;;;;Pacientes com feridas nas pernas;;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;exclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.13
ANGIOLOGIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ANGIOLOGIA;celula;exclusao;NaoDedutivel;de cada prestador e faixa etária para atendimento;;;;de cada prestador e faixa etária para atendimento;;CRECE p.13
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Investigação diagnóstica de “Sopro Cardíaco”;;;;Investigação diagnóstica de “Sopro Cardíaco”;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Investigação de Cianose. Investigação de arritmia cardíaca detectada através do exame cardiovascular anormal e/ou eletrocardiograma suspeito;;;;Investigação de Cianose. Investigação de arritmia cardíaca detectada através do exame cardiovascular anormal e/ou eletrocardiograma suspeito;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Investigação diagnóstica de Insuficiência Cardíaca;;;;Investigação diagnóstica de Insuficiência Cardíaca;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Avaliação cardiológica nas síndromes genéticas, com diagnóstico confirmado;;;;Avaliação cardiológica nas síndromes genéticas, com diagnóstico confirmado;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Casos suspeitos de Doenças Reumáticas;;;;Casos suspeitos de Doenças Reumáticas;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Investigação diagnóstica de Síncope;;;;Investigação diagnóstica de Síncope;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Investigação de dor torácica na infância e na adolescência;;;;Investigação de dor torácica na infância e na adolescência;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;Documental;Inserir Ecocardiograma com laudo, se houver;;;;;Inserir Ecocardiograma com laudo, se houver;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;Documental;Inserir todos os últimos exames realizados anteriormente (Laboratorial, Radiografia, etc);;;;;Inserir todos os últimos exames realizados anteriormente (Laboratorial, Radiografia, etc);CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;do prestador (Unidade executante);;;;do prestador (Unidade executante);;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Não marcar Risco Cirúrgico sem antecedentes de cardiopatias;;;;Não marcar Risco Cirúrgico sem antecedentes de cardiopatias;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Avaliação cardiológica para academias ou atividades físicas em crianças saudáveis. OBS: A avaliação cardiológica clínica para prática de esporte deve ser feita pela pediatria e somente encaminhados os pacientes para a cardiologia pediátrica nos casos de suspeita de cardiopatia congênita - arritmia ou historia familiar de morte súbita;;;;Avaliação cardiológica para academias ou atividades físicas em crianças saudáveis. OBS: A avaliação cardiológica clínica para prática de esporte deve ser feita pela pediatria e somente encaminhados os pacientes para a cardiologia pediátrica nos casos de suspeita de cardiopatia congênita - arritmia ou historia familiar de morte súbita;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.14
CARDIOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - PEDIATRIA;celula;exclusao;NaoDedutivel;de cada prestador e faixa etária para atendimento;;;;de cada prestador e faixa etária para atendimento;;CRECE p.14
CARDIOLOGIA - INSUFICIÊNCIA CARDÍACA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - INSUFICIENCIA CARDIACA;composto;inclusao;NaoDedutivel;Pacientes com mais de 18 anos com diagnóstico de Insuficiência Cardíaca, apresentando Fração de Ejeção no Ecocardiograma (menor) < - 40%;;;;Pacientes com mais de 18 anos com diagnóstico de Insuficiência Cardíaca, apresentando Fração de Ejeção no Ecocardiograma (menor) < - 40%;;CRECE p.15
CARDIOLOGIA - INSUFICIÊNCIA CARDÍACA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - INSUFICIENCIA CARDIACA;composto;inclusao;Documental;Inserir Ecocardiograma realizado há menos de 6 meses;;;;;Inserir Ecocardiograma realizado há menos de 6 meses;CRECE p.15
CARDIOLOGIA - INSUFICIÊNCIA CARDÍACA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - INSUFICIENCIA CARDIACA;composto;inclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.15
CARDIOLOGIA - INSUFICIÊNCIA CARDÍACA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - INSUFICIENCIA CARDIACA;composto;inclusao;NaoDedutivel;de cada prestador (Unidade executante);;;;de cada prestador (Unidade executante);;CRECE p.15
CARDIOLOGIA - INSUFICIÊNCIA CARDÍACA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - INSUFICIENCIA CARDIACA;composto;exclusao;NaoDedutivel;Pacientes com indicação de Cirurgia de Troca Valvar Cardíaca ou Revascularização Miocárdica e Pacientes sem exames que comprovem a presença de Insuficiência Cardíaca Grave;;;;Pacientes com indicação de Cirurgia de Troca Valvar Cardíaca ou Revascularização Miocárdica e Pacientes sem exames que comprovem a presença de Insuficiência Cardíaca Grave;;CRECE p.15
CARDIOLOGIA - INSUFICIÊNCIA CARDÍACA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - INSUFICIENCIA CARDIACA;composto;exclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.15
CARDIOLOGIA - INSUFICIÊNCIA CARDÍACA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CARDIOLOGIA - INSUFICIENCIA CARDIACA;composto;exclusao;NaoDedutivel;de cada prestador e faixa etária para atendimento;;;;de cada prestador e faixa etária para atendimento;;CRECE p.15
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;Observar se há necessidade de apresentação de exames complementares definidos pelo prestador;;;;Observar se há necessidade de apresentação de exames complementares definidos pelo prestador;;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;Pacientes que apresentem determinadas patologias, como;;;;Pacientes que apresentem determinadas patologias, como;;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Câncer de estômago;";;;;"Pacientes que apresentem determinadas patologias, como: Câncer de estômago;";;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Úlcera de estômago e tumores benignos;";;;;"Pacientes que apresentem determinadas patologias, como: Úlcera de estômago e tumores benignos;";;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Patologias do intestino delgado;";;;;"Pacientes que apresentem determinadas patologias, como: Patologias do intestino delgado;";;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Câncer de cólon;";;;;"Pacientes que apresentem determinadas patologias, como: Câncer de cólon;";;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Doença diverticular do cólon;";;;;"Pacientes que apresentem determinadas patologias, como: Doença diverticular do cólon;";;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Megacólon e Doença de Crohn;";;;;"Pacientes que apresentem determinadas patologias, como: Megacólon e Doença de Crohn;";;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;Pacientes que apresentem determinadas patologias, como: Entre outras condições;;;;Pacientes que apresentem determinadas patologias, como: Entre outras condições;;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;do paciente de acordo com cada prestador;;;;do paciente de acordo com cada prestador;;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;exclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.50
CIRURGIA GERAL - APARELHO DIGESTÓRIO;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;exclusao;NaoDedutivel;de cada prestador e faixa etária para atendimento;;;;de cada prestador e faixa etária para atendimento;;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;inclusao;NaoDedutivel;Observar se há necessidade de apresentação de exames complementares definidos pelo prestador;;;;Observar se há necessidade de apresentação de exames complementares definidos pelo prestador;;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;inclusao;NaoDedutivel;Pacientes que apresentem determinadas patologias, como;;;;Pacientes que apresentem determinadas patologias, como;;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Doença do refluxo gastroesofágico;";;;;"Pacientes que apresentem determinadas patologias, como: Doença do refluxo gastroesofágico;";;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Úlceras, Acalasia e Divertículos;";;;;"Pacientes que apresentem determinadas patologias, como: Úlceras, Acalasia e Divertículos;";;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Não respondem satisfatoriamente ao tratamento clínico, inclusive, aqueles com manifestações atípicas cujo refluxo foi devidamente comprovado;";;;;"Pacientes que apresentem determinadas patologias, como: Não respondem satisfatoriamente ao tratamento clínico, inclusive, aqueles com manifestações atípicas cujo refluxo foi devidamente comprovado;";;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;inclusao;NaoDedutivel;"Pacientes que apresentem determinadas patologias, como: Esôfago de barret, Esteatose, Úlcera e sangramento esofágico;";;;;"Pacientes que apresentem determinadas patologias, como: Esôfago de barret, Esteatose, Úlcera e sangramento esofágico;";;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;inclusao;NaoDedutivel;Pacientes que apresentem determinadas patologias, como: Entre outras condições;;;;Pacientes que apresentem determinadas patologias, como: Entre outras condições;;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;inclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;inclusao;NaoDedutivel;do paciente de acordo com cada prestador;;;;do paciente de acordo com cada prestador;;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;exclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.50
CIRURGIA GERAL - ESÔFAGO;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - ESOFAGO;composto;exclusao;NaoDedutivel;de cada prestador e faixa etária para atendimento;;;;de cada prestador e faixa etária para atendimento;;CRECE p.50
CIRURGIA GERAL - GERAL;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;As vagas ofertadas são exclusivamente para pacientes com patologias cirúrgicas,;;;;As vagas ofertadas são exclusivamente para pacientes com patologias cirúrgicas,;;CRECE p.52
CIRURGIA GERAL - GERAL;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;do paciente de acordo com cada prestador;;;;do paciente de acordo com cada prestador;;CRECE p.52
CIRURGIA GERAL - GERAL;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;inclusao;NaoDedutivel;Observar se há necessidade de apresentação de exames complementares definidos pelo prestador;;;;Observar se há necessidade de apresentação de exames complementares definidos pelo prestador;;CRECE p.52
CIRURGIA GERAL - GERAL;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;exclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.52
CIRURGIA GERAL - GERAL;SER;CRECE;AmbulatorioEstadual;;SEM_PAR;exclusao;NaoDedutivel;de cada prestador e faixa etária para atendimento;;;;de cada prestador e faixa etária para atendimento;;CRECE p.52
CIRURGIA GERAL - PARTES MOLES;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - PARTES MOLES;composto;inclusao;NaoDedutivel;Observar se há necessidade de apresentação de exames complementares definidos pelo prestador;;;;Observar se há necessidade de apresentação de exames complementares definidos pelo prestador;;CRECE p.51
CIRURGIA GERAL - PARTES MOLES;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - PARTES MOLES;composto;inclusao;NaoDedutivel;Pacientes que apresentam lesões de pele benignas;;;;Pacientes que apresentam lesões de pele benignas;;CRECE p.51
CIRURGIA GERAL - PARTES MOLES;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - PARTES MOLES;composto;inclusao;NaoDedutivel;Observar os;;;;Observar os;;CRECE p.51
CIRURGIA GERAL - PARTES MOLES;SER;CRECE;AmbulatorioEstadual;CONSULTA EM CIRURGIA GERAL - PARTES MOLES;composto;inclusao;NaoDedutivel;do paciente de acordo com cada prestador;;;;do paciente de acordo com cada prestador;;CRECE p.51
